"Area, Average Yield and Production of Vegetables by Area & Production, KIND, Crop, Level and Time"

"Area & Production";"KIND";"Crop";"Level";"2020";"2021";"2022";"2023";"2024"
"Area";"Summer";"Eggplants";"Barn South";2141.8;176.6;864.9;1156.6;1066.8
"Area";"Summer";"Eggplants";"Ghor Safi";419.3;807.2;176.4;185.4;171.0
"Area";"Summer";"Cucumber";"Amman";198.5;1232.5;1152.6;1343.6;1229.6
"Area";"Summer";"Cucumber";"Balqa";67.5;752.7;1009.4;1176.6;1076.8
"Area";"Summer";"Cucumber";"Zarqa";0.0;7.0;16.7;19.4;17.8
"Area";"Summer";"Cucumber";"Madaba";113.6;0.0;291.7;340.1;311.2
"Area";"Summer";"Cucumber";"Irbid";56.5;382.6;167.9;195.8;179.2
"Area";"Summer";"Cucumber";"Mafraq";504.2;229.0;434.3;506.3;463.4
"Area";"Summer";"Cucumber";"Jarash";0.0;96.3;228.6;266.5;243.9
"Area";"Summer";"Cucumber";"Ajloun";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Cucumber";"Karak";42.3;15.0;130.1;151.7;138.8
"Area";"Summer";"Cucumber";"Tafiela";285.5;73.2;81.5;95.0;87.0
"Area";"Summer";"Cucumber";"Ma'an";0.0;11.5;2.3;2.7;2.5
"Area";"Summer";"Cucumber";"Aqaba";40.0;0.0;2.5;2.9;2.7
"Area";"Summer";"Cucumber";"Barn North";635.1;812.1;250.8;292.4;267.6
"Area";"Summer";"Cucumber";"Deir Alla";3550.6;3240.6;2625.5;3060.6;2801.0
"Area";"Summer";"Cucumber";"Barn South";1069.8;637.7;567.5;536.5;491.0
"Area";"Summer";"Cucumber";"Ghor Safi";97.5;354.3;72.9;85.0;77.8
"Area";"Summer";"Potato";"Amman";116.0;430.6;335.0;399.4;361.8
"Area";"Summer";"Potato";"Balqa";0.0;5.0;0.8;1.0;0.9
"Area";"Summer";"Potato";"Zarqa";0.0;0.0;537.0;640.2;580.0
"Area";"Summer";"Potato";"Madaba";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Potato";"Irbid";1670.8;1760.0;2684.0;2341.9;1884.2
"Area";"Summer";"Potato";"Mafraq";115.0;0.0;104.2;124.2;112.6
"Area";"Summer";"Potato";"Jarash";0.0;0.0;46.5;55.4;50.2
"Area";"Summer";"Potato";"Ajloun";0.0;0.0;13.0;15.5;14.0
"Area";"Summer";"Potato";"Karak";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Potato";"Tafiela";0.0;439.4;0.0;0.0;0.0
"Area";"Summer";"Potato";"Ma'an";3000.0;7400.0;5047.2;5705.6;5450.9
"Area";"Summer";"Potato";"Aqaba";4262.0;3990.0;3368.2;4015.3;3637.6
"Area";"Summer";"Potato";"Barn North";136.0;0.0;487.3;580.9;526.3
"Area";"Summer";"Potato";"Deir Alla";659.7;3234.0;3748.6;4149.6;3759.3
"Area";"Summer";"Potato";"Barn South";50.0;655.1;435.4;415.2;376.2
"Area";"Summer";"Potato";"Ghor Safi";387.7;0.0;75.4;78.6;71.2
"Area";"Summer";"Cabbage";"Amman";0.0;181.4;331.7;296.4;302.7
"Area";"Summer";"Cabbage";"Balqa";0.0;66.9;58.1;51.9;53.0
"Area";"Summer";"Cabbage";"Zarqa";2602.9;868.8;887.5;793.1;810.0
"Area";"Summer";"Cabbage";"Madaba";0.0;0.0;232.8;208.0;212.4
"Area";"Summer";"Cabbage";"Irbid";0.0;79.8;66.2;59.1;60.4
"Area";"Summer";"Cabbage";"Mafraq";1005.0;470.0;701.1;537.0;548.5
"Area";"Summer";"Cabbage";"Jarash";860.6;0.0;90.9;81.3;83.0
"Area";"Summer";"Cabbage";"Ajloun";0.0;0.0;13.0;11.6;11.8
"Area";"Summer";"Cabbage";"Karak";0.0;719.7;92.1;82.3;84.1
"Area";"Summer";"Cabbage";"Tafiela";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Cabbage";"Ma'an";0.0;0.0;23.6;21.1;21.5
"Area";"Summer";"Cabbage";"Aqaba";0.0;0.0;6.4;5.7;5.8
"Area";"Summer";"Cabbage";"Barn North";0.0;0.0;57.1;51.0;52.1
"Area";"Summer";"Cabbage";"Deir Alla";0.0;238.1;258.3;230.8;235.7
"Area";"Summer";"Cabbage";"Barn South";260.0;820.8;272.4;243.4;248.6
"Area";"Summer";"Cabbage";"Ghor Safi";0.0;0.0;14.2;12.7;13.0
"Area";"Summer";"Cauliflower";"Amman";0.0;278.4;561.3;712.3;565.4
"Area";"Summer";"Cauliflower";"Balqa";0.0;0.0;217.1;244.9;194.4
"Area";"Summer";"Cauliflower";"Zarqa";3010.1;205.0;1803.3;2034.1;1614.6
"Area";"Summer";"Cauliflower";"Madaba";0.0;0.0;18.5;20.9;16.6
"Area";"Summer";"Cauliflower";"Irbid";0.0;0.0;0.3;0.4;0.3
"Area";"Summer";"Cauliflower";"Mafraq";665.0;2605.0;1252.0;1350.9;1072.3
"Area";"Summer";"Cauliflower";"Jarash";701.2;0.0;141.1;159.1;126.3
"Area";"Summer";"Cauliflower";"Ajloun";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Cauliflower";"Karak";10.0;1155.6;219.0;247.0;196.1
"Area";"Summer";"Cauliflower";"Tafiela";0.0;329.5;65.3;73.6;58.4
"Area";"Summer";"Cauliflower";"Ma'an";0.0;639.8;187.4;211.3;167.8
"Area";"Summer";"Cauliflower";"Aqaba";0.0;0.0;29.0;32.7;25.9
"Area";"Summer";"Cauliflower";"Barn North";0.0;0.0;188.0;212.0;168.3
"Area";"Summer";"Cauliflower";"Deir Alla";0.0;601.8;141.3;159.4;126.5
"Area";"Summer";"Cauliflower";"Barn South";583.9;1153.2;288.7;325.7;258.5
"Area";"Summer";"Cauliflower";"Ghor Safi";0.0;0.0;16.2;18.3;14.5
"Area";"Summer";"Hot pepper";"Amman";0.0;69.5;181.2;136.3;135.4
"Area";"Summer";"Hot pepper";"Balqa";0.0;0.0;106.4;80.1;79.5
"Area";"Summer";"Hot pepper";"Zarqa";40.0;61.6;100.5;75.6;75.1
"Area";"Summer";"Hot pepper";"Madaba";0.0;0.0;94.1;70.8;70.3
"Area";"Summer";"Hot pepper";"Irbid";0.0;127.4;98.4;74.0;73.5
"Area";"Summer";"Hot pepper";"Mafraq";549.6;424.0;1000.5;752.8;747.4
"Area";"Summer";"Hot pepper";"Jarash";52.8;532.1;206.2;155.2;154.0
"Area";"Summer";"Hot pepper";"Ajloun";0.0;0.0;49.2;37.0;36.7
"Area";"Summer";"Hot pepper";"Karak";0.0;403.9;198.7;149.5;148.4
"Area";"Summer";"Hot pepper";"Tafiela";0.0;0.0;3.8;2.9;2.8
"Area";"Summer";"Hot pepper";"Ma'an";0.0;12.0;3.8;2.9;2.9
"Area";"Summer";"Hot pepper";"Aqaba";0.0;0.0;1.0;0.8;0.8
"Area";"Summer";"Hot pepper";"Barn North";20.0;161.2;524.9;395.0;392.1
"Area";"Summer";"Hot pepper";"Deir Alla";0.0;281.1;524.4;394.6;391.7
"Area";"Summer";"Hot pepper";"Barn South";0.0;0.0;75.6;56.9;56.5
"Area";"Summer";"Hot pepper";"Ghor Safi";545.5;566.1;375.3;282.4;280.4
"Area";"Summer";"Sweet pepper";"Amman";57.5;147.1;628.0;1025.0;1086.6
"Area";"Summer";"Sweet pepper";"Balqa";0.0;195.6;159.8;260.8;276.5
"Area";"Summer";"Sweet pepper";"Zarqa";728.8;414.8;302.7;494.1;523.8
"Area";"Summer";"Sweet pepper";"Madaba";0.0;0.0;112.3;183.3;194.3
"Area";"Summer";"Sweet pepper";"Irbid";450.0;257.9;558.3;683.4;724.5
"Area";"Summer";"Sweet pepper";"Mafraq";330.0;1111.0;1699.7;2774.1;2940.9
"Area";"Summer";"Sweet pepper";"Jarash";0.0;0.0;75.4;123.0;130.4
"Area";"Summer";"Sweet pepper";"Ajloun";0.0;0.0;15.0;18.3;19.4
"Area";"Summer";"Sweet pepper";"Karak";0.0;1714.4;318.1;454.3;481.6
"Area";"Summer";"Sweet pepper";"Tafiela";0.0;0.0;1.1;1.8;1.9
"Area";"Summer";"Sweet pepper";"Ma'an";0.0;30.0;3.0;4.8;5.1
"Area";"Summer";"Sweet pepper";"Aqaba";40.0;0.0;49.3;80.4;85.3
"Area";"Summer";"Sweet pepper";"Barn North";694.9;415.8;696.3;1136.4;1204.7
"Area";"Summer";"Sweet pepper";"Deir Alla";2785.0;2172.5;1700.1;2774.8;2941.6
"Area";"Summer";"Sweet pepper";"Barn South";1275.7;625.8;394.2;615.5;652.5
"Area";"Summer";"Sweet pepper";"Ghor Safi";0.0;0.0;67.9;110.8;117.5
"Area";"Summer";"Broad beans";"Amman";0.0;14.7;21.1;44.7;15.2
"Area";"Summer";"Broad beans";"Balqa";0.0;0.0;3.0;6.3;2.2
"Area";"Summer";"Broad beans";"Zarqa";0.0;0.0;14.2;30.0;10.2
"Area";"Summer";"Broad beans";"Madaba";0.0;910.8;47.2;100.0;34.1
"Area";"Summer";"Broad beans";"Irbid";1186.3;1094.9;167.3;354.3;120.7
"Area";"Summer";"Broad beans";"Mafraq";0.0;0.0;0.9;1.8;0.6
"Area";"Summer";"Broad beans";"Jarash";0.0;0.0;0.9;2.0;0.7
"Area";"Summer";"Broad beans";"Ajloun";0.0;0.0;16.3;34.6;11.8
"Area";"Summer";"Broad beans";"Karak";0.0;0.0;3.3;7.0;2.4
"Area";"Summer";"Broad beans";"Tafiela";47.8;0.0;0.8;1.6;0.5
"Area";"Summer";"Broad beans";"Ma'an";45.0;100.0;3.0;6.4;2.2
"Area";"Summer";"Broad beans";"Aqaba";200.0;0.0;132.0;279.5;95.2
"Area";"Summer";"Broad beans";"Barn North";0.0;0.0;18.3;38.7;13.2
"Area";"Summer";"Broad beans";"Deir Alla";0.0;66.1;32.8;69.4;23.6
"Area";"Summer";"Broad beans";"Barn South";26.6;0.0;2.0;4.2;1.4
"Area";"Summer";"Broad beans";"Ghor Safi";0.0;190.2;35.2;74.5;25.4
"Area";"Summer";"String beans";"Amman";694.4;72.0;246.2;333.1;206.8
"Area";"Summer";"String beans";"Balqa";0.0;0.0;183.8;248.7;154.4
"Area";"Summer";"String beans";"Zarqa";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"String beans";"Madaba";0.0;0.0;55.7;75.4;46.8
"Area";"Summer";"String beans";"Irbid";0.0;0.0;191.8;259.5;161.1
"Area";"Summer";"String beans";"Mafraq";364.0;0.0;162.1;219.4;136.2
"Area";"Summer";"String beans";"Jarash";0.0;32.1;38.5;52.1;32.3
"Area";"Summer";"String beans";"Ajloun";0.0;0.0;20.9;28.2;17.5
"Area";"Summer";"String beans";"Karak";0.0;0.0;95.7;129.5;80.4
"Area";"Summer";"String beans";"Tafiela";0.0;0.0;6.5;8.7;5.4
"Area";"Summer";"String beans";"Ma'an";265.0;250.0;258.9;350.3;217.4
"Area";"Summer";"String beans";"Aqaba";0.0;0.0;121.3;164.1;101.9
"Area";"Summer";"String beans";"Barn North";0.0;118.6;368.6;498.8;309.6
"Area";"Summer";"String beans";"Deir Alla";96.1;724.2;365.5;494.5;306.9
"Area";"Summer";"String beans";"Barn South";0.0;0.0;65.1;88.1;54.7
"Area";"Summer";"String beans";"Ghor Safi";410.0;678.3;775.0;1048.6;650.9
"Area";"Summer";"Peas";"Amman";0.0;7.4;78.4;143.4;38.3
"Area";"Summer";"Peas";"Balqa";0.0;0.0;0.6;1.1;0.3
"Area";"Summer";"Peas";"Zarqa";0.0;0.0;0.3;0.5;0.1
"Area";"Summer";"Peas";"Madaba";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Peas";"Irbid";1052.9;0.0;187.6;343.1;91.6
"Area";"Summer";"Peas";"Mafraq";0.0;23.1;9.3;17.1;4.6
"Area";"Summer";"Peas";"Jarash";0.0;307.1;48.6;88.8;23.7
"Area";"Summer";"Peas";"Ajloun";30.6;108.7;24.8;45.3;12.1
"Area";"Summer";"Peas";"Karak";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Peas";"Tafiela";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Peas";"Ma'an";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Peas";"Aqaba";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Peas";"Barn North";0.0;38.5;9.0;16.5;4.4
"Area";"Summer";"Peas";"Deir Alla";0.0;99.2;19.0;34.8;9.3
"Area";"Summer";"Peas";"Barn South";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Peas";"Ghor Safi";0.0;0.0;2.7;4.9;1.3
"Area";"Summer";"Cow-peas";"Amman";0.0;198.6;68.4;68.1;69.9
"Area";"Summer";"Cow-peas";"Balqa";0.0;0.0;92.7;92.2;94.7
"Area";"Summer";"Cow-peas";"Zarqa";0.0;63.2;65.6;65.2;67.0
"Area";"Summer";"Cow-peas";"Madaba";0.0;0.0;1.2;1.2;1.3
"Area";"Summer";"Cow-peas";"Irbid";14.8;187.9;106.6;106.0;108.8
"Area";"Summer";"Cow-peas";"Mafraq";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Cow-peas";"Jarash";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Cow-peas";"Ajloun";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Cow-peas";"Karak";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Cow-peas";"Tafiela";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Cow-peas";"Ma'an";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Cow-peas";"Aqaba";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Cow-peas";"Barn North";93.9;0.0;117.3;116.6;119.8
"Area";"Summer";"Cow-peas";"Deir Alla";20.4;0.0;53.5;53.1;54.6
"Area";"Summer";"Cow-peas";"Barn South";0.0;0.0;3.7;3.6;3.7
"Area";"Summer";"Cow-peas";"Ghor Safi";292.2;0.0;76.3;75.9;77.9
"Area";"Summer";"Jew's mallow";"Amman";0.0;0.0;1.8;1.7;1.5
"Area";"Summer";"Jew's mallow";"Balqa";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Jew's mallow";"Zarqa";190.0;158.0;29.8;28.3;25.4
"Area";"Summer";"Jew's mallow";"Madaba";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Jew's mallow";"Irbid";0.0;0.0;0.1;0.1;0.1
"Area";"Summer";"Jew's mallow";"Mafraq";150.0;0.0;13.5;12.8;11.5
"Area";"Summer";"Jew's mallow";"Jarash";0.0;0.0;0.2;0.2;0.1
"Area";"Summer";"Jew's mallow";"Ajloun";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Jew's mallow";"Karak";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Jew's mallow";"Tafiela";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Jew's mallow";"Ma'an";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Jew's mallow";"Aqaba";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Jew's mallow";"Barn North";1544.0;304.9;724.0;686.5;617.9
"Area";"Summer";"Jew's mallow";"Deir Alla";1453.4;2172.5;1139.4;1080.3;972.5
"Area";"Summer";"Jew's mallow";"Barn South";352.8;188.1;752.8;713.8;642.5
"Area";"Summer";"Jew's mallow";"Ghor Safi";9538.3;5578.3;4931.8;4676.1;4209.1
"Area";"Summer";"Okra";"Amman";803.9;1938.6;1141.8;1214.7;1373.2
"Area";"Summer";"Okra";"Balqa";0.0;436.4;111.0;118.1;133.5
"Area";"Summer";"Okra";"Zarqa";0.0;47.4;10.9;11.6;13.1
"Area";"Summer";"Okra";"Madaba";0.0;1062.6;267.2;284.3;321.4
"Area";"Summer";"Okra";"Irbid";3912.6;1898.8;2090.1;2223.6;2513.8
"Area";"Summer";"Okra";"Mafraq";0.0;254.6;22.8;24.3;27.5
"Area";"Summer";"Okra";"Jarash";0.0;322.6;77.5;82.4;93.2
"Area";"Summer";"Okra";"Ajloun";30.6;0.0;30.7;32.7;37.0
"Area";"Summer";"Okra";"Karak";36.2;50.0;84.4;89.8;101.5
"Area";"Summer";"Okra";"Tafiela";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Okra";"Ma'an";0.0;0.0;4.1;4.3;4.9
"Area";"Summer";"Okra";"Aqaba";0.0;114.1;15.2;16.2;18.3
"Area";"Summer";"Okra";"Barn North";1301.9;697.7;1513.5;1610.2;1820.3
"Area";"Summer";"Okra";"Deir Alla";1033.6;1746.0;1197.3;1273.7;1440.0
"Area";"Summer";"Okra";"Barn South";0.0;94.0;135.5;144.1;162.9
"Area";"Summer";"Okra";"Ghor Safi";227.0;65.6;198.4;211.1;238.6
"Area";"Summer";"Lettuce";"Amman";1420.8;962.5;1474.6;3253.9;2328.9
"Area";"Summer";"Lettuce";"Balqa";0.0;234.2;284.2;432.4;309.5
"Area";"Summer";"Lettuce";"Zarqa";1.0;1860.2;1298.2;1975.7;1414.0
"Area";"Summer";"Lettuce";"Madaba";0.0;0.0;0.4;0.6;0.5
"Area";"Summer";"Lettuce";"Irbid";0.0;187.9;74.8;113.9;81.5
"Area";"Summer";"Lettuce";"Mafraq";0.0;175.0;323.0;491.6;351.9
"Area";"Summer";"Lettuce";"Jarash";239.0;322.6;350.3;533.1;381.6
"Area";"Summer";"Lettuce";"Ajloun";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Lettuce";"Karak";0.0;0.0;167.6;255.1;182.6
"Area";"Summer";"Lettuce";"Tafiela";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Lettuce";"Ma'an";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Lettuce";"Aqaba";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Lettuce";"Barn North";0.0;0.0;331.1;503.8;360.6
"Area";"Summer";"Lettuce";"Deir Alla";809.8;185.2;1510.8;2299.2;1645.6
"Area";"Summer";"Lettuce";"Barn South";383.8;976.1;507.1;771.7;552.3
"Area";"Summer";"Lettuce";"Ghor Safi";0.0;0.0;1.2;1.9;1.3
"Area";"Summer";"Sweet melon";"Amman";45.0;630.0;945.3;676.5;590.8
"Area";"Summer";"Sweet melon";"Balqa";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Sweet melon";"Zarqa";70.0;952.8;960.7;687.4;600.4
"Area";"Summer";"Sweet melon";"Madaba";0.0;0.0;582.8;417.0;364.2
"Area";"Summer";"Sweet melon";"Irbid";0.0;56.2;153.7;110.0;96.1
"Area";"Summer";"Sweet melon";"Mafraq";125.0;422.9;1126.5;1036.4;905.2
"Area";"Summer";"Sweet melon";"Jarash";0.0;73.7;224.0;160.3;140.0
"Area";"Summer";"Sweet melon";"Ajloun";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Sweet melon";"Karak";2533.5;2048.5;3225.9;2308.4;2016.1
"Area";"Summer";"Sweet melon";"Tafiela";912.5;109.8;883.8;632.4;552.4
"Area";"Summer";"Sweet melon";"Ma'an";280.0;592.0;813.9;582.4;508.7
"Area";"Summer";"Sweet melon";"Aqaba";100.0;4070.7;3665.5;2622.9;2290.8
"Area";"Summer";"Sweet melon";"Barn North";30.0;117.7;405.8;290.4;253.6
"Area";"Summer";"Sweet melon";"Deir Alla";0.0;201.7;70.2;50.2;43.9
"Area";"Summer";"Sweet melon";"Barn South";160.0;155.0;448.2;320.7;280.1
"Area";"Summer";"Sweet melon";"Ghor Safi";4630.8;4809.4;5862.0;4194.7;3663.6
"Area";"Summer";"Water melon";"Amman";200.0;1241.4;1071.5;827.0;553.2
"Area";"Summer";"Water melon";"Balqa";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Water melon";"Zarqa";20.0;123.0;239.0;184.5;123.4
"Area";"Summer";"Water melon";"Madaba";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Water melon";"Irbid";0.0;134.8;41.2;31.8;21.3
"Area";"Summer";"Water melon";"Mafraq";930.0;717.9;1617.8;1548.3;1035.7
"Area";"Summer";"Water melon";"Jarash";0.0;147.4;24.6;19.0;12.7
"Area";"Summer";"Water melon";"Ajloun";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Water melon";"Karak";1731.4;2884.0;1504.6;1161.2;776.8
"Area";"Summer";"Water melon";"Tafiela";0.0;183.1;98.6;76.1;50.9
"Area";"Summer";"Water melon";"Ma'an";2024.0;2170.0;2858.7;2206.4;1475.9
"Area";"Summer";"Water melon";"Aqaba";6391.4;4862.7;6536.7;5045.0;3374.9
"Area";"Summer";"Water melon";"Barn North";380.0;89.8;132.2;102.0;68.3
"Area";"Summer";"Water melon";"Deir Alla";0.0;0.0;0.2;0.2;0.1
"Area";"Summer";"Water melon";"Barn South";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Water melon";"Ghor Safi";1040.7;2509.3;2408.7;1859.1;1243.6
"Area";"Summer";"Spinach";"Amman";0.0;0.0;13.8;16.3;13.5
"Area";"Summer";"Spinach";"Balqa";0.0;549.9;40.3;47.6;39.4
"Area";"Summer";"Spinach";"Zarqa";250.0;77.6;98.0;115.8;96.0
"Area";"Summer";"Spinach";"Madaba";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Spinach";"Irbid";100.0;0.0;9.0;10.6;8.8
"Area";"Summer";"Spinach";"Mafraq";375.0;0.0;103.3;150.5;124.8
"Area";"Summer";"Spinach";"Jarash";0.0;0.0;0.1;0.1;0.1
"Area";"Summer";"Spinach";"Ajloun";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Spinach";"Karak";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Spinach";"Tafiela";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Spinach";"Ma'an";0.0;0.0;0.3;0.4;0.3
"Area";"Summer";"Spinach";"Aqaba";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Spinach";"Barn North";134.2;218.1;30.9;36.5;30.3
"Area";"Summer";"Spinach";"Deir Alla";0.0;200.4;11.2;13.3;11.0
"Area";"Summer";"Spinach";"Barn South";126.4;0.0;42.5;50.2;41.6
"Area";"Summer";"Spinach";"Ghor Safi";405.4;64.0;31.9;37.7;31.2
"Area";"Summer";"Onion green";"Amman";0.0;0.0;21.3;25.8;20.7
"Area";"Summer";"Onion green";"Balqa";0.0;0.0;0.3;0.4;0.3
"Area";"Summer";"Onion green";"Zarqa";200.0;5.0;30.7;37.1;29.8
"Area";"Summer";"Onion green";"Madaba";0.0;0.0;23.1;28.0;22.5
"Area";"Summer";"Onion green";"Irbid";669.0;281.9;289.0;349.7;280.8
"Area";"Summer";"Onion green";"Mafraq";495.0;342.6;54.5;65.9;52.9
"Area";"Summer";"Onion green";"Jarash";0.0;16.1;5.3;6.5;5.2
"Area";"Summer";"Onion green";"Ajloun";0.0;145.7;12.8;15.4;12.4
"Area";"Summer";"Onion green";"Karak";0.0;0.0;2.3;2.7;2.2
"Area";"Summer";"Onion green";"Tafiela";0.0;0.0;0.0;0.0;0.0
"Area";"Summer";"Onion green";"Ma'an";0.0;200.0;21.7;26.2;21.1
"Area";"Summer";"Onion green";"Aqaba";0.0;0.0;40.3;48.7;39.1
"Area";"Summer";"Onion green";"Barn North";551.5;0.0;94.6;114.5;92.0
"Area";"Summer";"Onion green";"Deir Alla";0.0;0.0;88.2;106.7;85.7
"Area";"Summer";"Onion green";"Barn South";34.0;224.9;26.5;32.1;25.8
"Area";"Summer";"Onion green";"Ghor Safi";60.0;0.0;8.2;9.9;7.9
"Area";"Summer";"Onion dry";"Amman";0.0;647.8;1061.7;1221.8;1121.2
