"Agriculture Prices by Marketing Costs / Prices, Level, Crop, Month and Time"

"Marketing Costs / Prices";"Level";"Crop";"Month";"2024"
"Market";"Kingdom";"Tomatoes";"July";22.1
"Market";"Kingdom";"Tomatoes";"August";26.5
"Market";"Kingdom";"Tomatoes";"September";18.4
"Market";"Kingdom";"Tomatoes";"October";18.0
"Market";"Kingdom";"Tomatoes";"November";23.4
"Market";"Kingdom";"Tomatoes";"December";28.2
"Market";"Up-Land";"Tomatoes";"January";17.2
"Market";"Up-Land";"Tomatoes";"February";18.3
"Market";"Up-Land";"Tomatoes";"March";18.8
"Market";"Up-Land";"Tomatoes";"April";17.5
"Market";"Up-Land";"Tomatoes";"May";18.3
"Market";"Up-Land";"Tomatoes";"June";16.8
"Market";"Up-Land";"Tomatoes";"July";22.0
"Market";"Up-Land";"Tomatoes";"August";26.3
"Market";"Up-Land";"Tomatoes";"September";18.2
"Market";"Up-Land";"Tomatoes";"October";17.9
"Market";"Up-Land";"Tomatoes";"November";23.3
"Market";"Up-Land";"Tomatoes";"December";28.2
"Market";"Al-Aghouar";"Tomatoes";"January";18.1
"Market";"Al-Aghouar";"Tomatoes";"February";17.4
"Market";"Al-Aghouar";"Tomatoes";"March";17.2
"Market";"Al-Aghouar";"Tomatoes";"April";16.5
"Market";"Al-Aghouar";"Tomatoes";"May";18.0
"Market";"Al-Aghouar";"Tomatoes";"June";16.0
"Market";"Al-Aghouar";"Tomatoes";"July";22.7
"Market";"Al-Aghouar";"Tomatoes";"August";27.4
"Market";"Al-Aghouar";"Tomatoes";"September";19.5
"Market";"Al-Aghouar";"Tomatoes";"October";18.7
"Market";"Al-Aghouar";"Tomatoes";"November";23.9
"Market";"Al-Aghouar";"Tomatoes";"December";28.3
"Total Marketing Costs ";"Kingdom";"Tomatoes";"January";74.4
"Total Marketing Costs ";"Kingdom";"Tomatoes";"February";72.5
"Total Marketing Costs ";"Kingdom";"Tomatoes";"March";72.0
"Total Marketing Costs ";"Kingdom";"Tomatoes";"April";70.2
"Total Marketing Costs ";"Kingdom";"Tomatoes";"May";74.5
"Total Marketing Costs ";"Kingdom";"Tomatoes";"June";69.1
"Total Marketing Costs ";"Kingdom";"Tomatoes";"July";72.6
"Total Marketing Costs ";"Kingdom";"Tomatoes";"August";78.3
"Total Marketing Costs ";"Kingdom";"Tomatoes";"September";69.4
"Total Marketing Costs ";"Kingdom";"Tomatoes";"October";72.0
"Total Marketing Costs ";"Kingdom";"Tomatoes";"November";74.7
"Total Marketing Costs ";"Kingdom";"Tomatoes";"December";83.3
"Total Marketing Costs ";"Up-Land";"Tomatoes";"January";70.0
"Total Marketing Costs ";"Up-Land";"Tomatoes";"February";68.5
"Total Marketing Costs ";"Up-Land";"Tomatoes";"March";67.9
"Total Marketing Costs ";"Up-Land";"Tomatoes";"April";66.3
"Total Marketing Costs ";"Up-Land";"Tomatoes";"May";66.9
"Total Marketing Costs ";"Up-Land";"Tomatoes";"June";65.7
"Total Marketing Costs ";"Up-Land";"Tomatoes";"July";71.8
"Total Marketing Costs ";"Up-Land";"Tomatoes";"August";77.9
"Total Marketing Costs ";"Up-Land";"Tomatoes";"September";68.8
"Total Marketing Costs ";"Up-Land";"Tomatoes";"October";72.0
"Total Marketing Costs ";"Up-Land";"Tomatoes";"November";73.8
"Total Marketing Costs ";"Up-Land";"Tomatoes";"December";81.7
"Total Marketing Costs ";"Al-Aghouar";"Tomatoes";"January";76.9
"Total Marketing Costs ";"Al-Aghouar";"Tomatoes";"February";73.0
"Total Marketing Costs ";"Al-Aghouar";"Tomatoes";"March";72.5
"Total Marketing Costs ";"Al-Aghouar";"Tomatoes";"April";71.0
"Total Marketing Costs ";"Al-Aghouar";"Tomatoes";"May";76.6
"Total Marketing Costs ";"Al-Aghouar";"Tomatoes";"June";72.6
"Total Marketing Costs ";"Al-Aghouar";"Tomatoes";"July";76.3
"Total Marketing Costs ";"Al-Aghouar";"Tomatoes";"August";80.9
"Total Marketing Costs ";"Al-Aghouar";"Tomatoes";"September";73.0
"Total Marketing Costs ";"Al-Aghouar";"Tomatoes";"October";72.4
"Total Marketing Costs ";"Al-Aghouar";"Tomatoes";"November";77.5
"Total Marketing Costs ";"Al-Aghouar";"Tomatoes";"December";85.2
"Central Market Prices ";"Kingdom";"Tomatoes";"January";149.2
"Central Market Prices ";"Kingdom";"Tomatoes";"February";145.9
"Central Market Prices ";"Kingdom";"Tomatoes";"March";142.2
"Central Market Prices ";"Kingdom";"Tomatoes";"April";128.8
"Central Market Prices ";"Kingdom";"Tomatoes";"May";147.7
"Central Market Prices ";"Kingdom";"Tomatoes";"June";118.8
"Central Market Prices ";"Kingdom";"Tomatoes";"July";213.9
"Central Market Prices ";"Kingdom";"Tomatoes";"August";287.8
"Central Market Prices ";"Kingdom";"Tomatoes";"September";153.1
"Central Market Prices ";"Kingdom";"Tomatoes";"October";146.7
"Central Market Prices ";"Kingdom";"Tomatoes";"November";237.4
"Central Market Prices ";"Kingdom";"Tomatoes";"December";321.2
"Central Market Prices ";"Up-Land";"Tomatoes";"January";137.2
"Central Market Prices ";"Up-Land";"Tomatoes";"February";139.0
"Central Market Prices ";"Up-Land";"Tomatoes";"March";147.0
"Central Market Prices ";"Up-Land";"Tomatoes";"April";124.6
"Central Market Prices ";"Up-Land";"Tomatoes";"May";137.7
"Central Market Prices ";"Up-Land";"Tomatoes";"June";113.3
"Central Market Prices ";"Up-Land";"Tomatoes";"July";213.2
"Central Market Prices ";"Up-Land";"Tomatoes";"August";286.4
"Central Market Prices ";"Up-Land";"Tomatoes";"September";151.1
"Central Market Prices ";"Up-Land";"Tomatoes";"October";145.7
"Central Market Prices ";"Up-Land";"Tomatoes";"November";237.5
"Central Market Prices ";"Up-Land";"Tomatoes";"December";320.6
"Central Market Prices ";"Al-Aghouar";"Tomatoes";"January";155.9
"Central Market Prices ";"Al-Aghouar";"Tomatoes";"February";146.7
"Central Market Prices ";"Al-Aghouar";"Tomatoes";"March";141.6
"Central Market Prices ";"Al-Aghouar";"Tomatoes";"April";129.6
"Central Market Prices ";"Al-Aghouar";"Tomatoes";"May";150.4
"Central Market Prices ";"Al-Aghouar";"Tomatoes";"June";124.3
"Central Market Prices ";"Al-Aghouar";"Tomatoes";"July";216.9
"Central Market Prices ";"Al-Aghouar";"Tomatoes";"August";296.9
"Central Market Prices ";"Al-Aghouar";"Tomatoes";"September";165.9
"Central Market Prices ";"Al-Aghouar";"Tomatoes";"October";153.0
"Central Market Prices ";"Al-Aghouar";"Tomatoes";"November";237.0
"Central Market Prices ";"Al-Aghouar";"Tomatoes";"December";322.1
"Farm-Gate Price";"Kingdom";"Tomatoes";"January";74.8
"Farm-Gate Price";"Kingdom";"Tomatoes";"February";73.4
"Farm-Gate Price";"Kingdom";"Tomatoes";"March";70.3
"Farm-Gate Price";"Kingdom";"Tomatoes";"April";58.6
"Farm-Gate Price";"Kingdom";"Tomatoes";"May";73.2
"Farm-Gate Price";"Kingdom";"Tomatoes";"June";49.6
"Farm-Gate Price";"Kingdom";"Tomatoes";"July";141.3
"Farm-Gate Price";"Kingdom";"Tomatoes";"August";209.5
"Farm-Gate Price";"Kingdom";"Tomatoes";"September";83.7
"Farm-Gate Price";"Kingdom";"Tomatoes";"October";74.7
"Farm-Gate Price";"Kingdom";"Tomatoes";"November";162.6
"Farm-Gate Price";"Kingdom";"Tomatoes";"December";238.0
"Farm-Gate Price";"Up-Land";"Tomatoes";"January";67.2
"Farm-Gate Price";"Up-Land";"Tomatoes";"February";70.5
"Farm-Gate Price";"Up-Land";"Tomatoes";"March";79.1
"Farm-Gate Price";"Up-Land";"Tomatoes";"April";58.3
"Farm-Gate Price";"Up-Land";"Tomatoes";"May";70.8
"Farm-Gate Price";"Up-Land";"Tomatoes";"June";47.6
"Farm-Gate Price";"Up-Land";"Tomatoes";"July";141.4
"Farm-Gate Price";"Up-Land";"Tomatoes";"August";208.5
"Farm-Gate Price";"Up-Land";"Tomatoes";"September";82.3
"Farm-Gate Price";"Up-Land";"Tomatoes";"October";73.7
"Farm-Gate Price";"Up-Land";"Tomatoes";"November";163.6
"Farm-Gate Price";"Up-Land";"Tomatoes";"December";238.9
"Farm-Gate Price";"Al-Aghouar";"Tomatoes";"January";79.0
"Farm-Gate Price";"Al-Aghouar";"Tomatoes";"February";73.7
"Farm-Gate Price";"Al-Aghouar";"Tomatoes";"March";69.0
"Farm-Gate Price";"Al-Aghouar";"Tomatoes";"April";58.6
"Farm-Gate Price";"Al-Aghouar";"Tomatoes";"May";73.8
"Farm-Gate Price";"Al-Aghouar";"Tomatoes";"June";51.7
"Farm-Gate Price";"Al-Aghouar";"Tomatoes";"July";140.6
"Farm-Gate Price";"Al-Aghouar";"Tomatoes";"August";216.0
"Farm-Gate Price";"Al-Aghouar";"Tomatoes";"September";92.9
"Farm-Gate Price";"Al-Aghouar";"Tomatoes";"October";80.6
"Farm-Gate Price";"Al-Aghouar";"Tomatoes";"November";159.5
"Farm-Gate Price";"Al-Aghouar";"Tomatoes";"December";236.9
