"Agriculture Prices by Marketing Costs / Prices, Level, Crop, Month and Time"

"Marketing Costs / Prices";"Level";"Crop";"Month";"2020";"2021";"2022";"2023";"2024"
"Packs";"Kingdom";"Crambe ";"March";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Crambe ";"April";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Crambe ";"May";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Crambe ";"June";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Crambe ";"July";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Crambe ";"August";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Crambe ";"September";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Crambe ";"October";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Crambe ";"November";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Crambe ";"December";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Kale";"January";0.0;0.0;0.0;0.0;43.7
"Packs";"Kingdom";"Kale";"February";0.0;0.0;0.0;0.0;44.4
"Packs";"Kingdom";"Kale";"March";0.0;0.0;0.0;0.0;43.7
"Packs";"Kingdom";"Kale";"April";0.0;0.0;0.0;0.0;43.9
"Packs";"Kingdom";"Kale";"May";0.0;0.0;0.0;0.0;43.0
"Packs";"Kingdom";"Kale";"June";0.0;0.0;0.0;0.0;43.3
"Packs";"Kingdom";"Kale";"July";0.0;0.0;0.0;44.0;43.4
"Packs";"Kingdom";"Kale";"August";0.0;0.0;0.0;44.0;45.7
"Packs";"Kingdom";"Kale";"September";0.0;0.0;0.0;44.0;39.9
"Packs";"Kingdom";"Kale";"October";0.0;0.0;0.0;44.0;43.5
"Packs";"Kingdom";"Kale";"November";0.0;0.0;0.0;44.0;44.3
"Packs";"Kingdom";"Kale";"December";0.0;0.0;0.0;44.0;40.0
"Packs";"Kingdom";"Kohlrabi";"January";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Kohlrabi";"February";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Kohlrabi";"March";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Kohlrabi";"April";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Kohlrabi";"May";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Kohlrabi";"June";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Kohlrabi";"July";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Kohlrabi";"August";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Kohlrabi";"September";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Kohlrabi";"October";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Kohlrabi";"November";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Kohlrabi";"December";0.0;0.0;0.0;0.0;43.9
"Packs";"Kingdom";"Brussels sprout";"January";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Brussels sprout";"February";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Brussels sprout";"March";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Brussels sprout";"April";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Brussels sprout";"May";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Brussels sprout";"June";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Brussels sprout";"July";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Brussels sprout";"August";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Brussels sprout";"September";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Brussels sprout";"October";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Brussels sprout";"November";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Brussels sprout";"December";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Cauliflower ";"January";27.5;27.5;27.5;23.5;23.5
"Packs";"Kingdom";"Cauliflower ";"February";27.5;27.5;27.5;23.5;23.5
"Packs";"Kingdom";"Cauliflower ";"March";27.5;27.5;27.5;23.5;23.5
"Packs";"Kingdom";"Cauliflower ";"April";27.5;27.5;27.5;23.5;23.5
"Packs";"Kingdom";"Cauliflower ";"May";27.5;27.5;27.5;23.5;23.5
"Packs";"Kingdom";"Cauliflower ";"June";27.5;27.5;27.5;23.5;23.5
"Packs";"Kingdom";"Cauliflower ";"July";27.5;27.5;27.5;23.5;23.5
"Packs";"Kingdom";"Cauliflower ";"August";27.5;27.5;27.5;23.5;23.5
"Packs";"Kingdom";"Cauliflower ";"September";27.5;27.5;27.5;23.5;23.5
"Packs";"Kingdom";"Cauliflower ";"October";27.5;27.5;27.5;23.5;23.5
"Packs";"Kingdom";"Cauliflower ";"November";27.5;27.5;27.5;23.5;23.5
"Packs";"Kingdom";"Cauliflower ";"December";27.5;27.5;27.5;23.5;23.5
"Packs";"Kingdom";"Broccoli";"January";29.2;29.2;29.2;29.2;29.2
"Packs";"Kingdom";"Broccoli";"February";29.2;29.2;29.2;29.2;29.2
"Packs";"Kingdom";"Broccoli";"March";29.2;29.2;29.2;29.2;29.2
"Packs";"Kingdom";"Broccoli";"April";29.2;29.2;29.2;29.2;29.2
"Packs";"Kingdom";"Broccoli";"May";29.2;29.2;29.2;29.2;29.2
"Packs";"Kingdom";"Broccoli";"June";29.2;29.2;29.2;29.2;29.2
"Packs";"Kingdom";"Broccoli";"July";29.2;29.2;29.2;29.2;29.2
"Packs";"Kingdom";"Broccoli";"August";29.2;29.2;29.2;29.2;29.2
"Packs";"Kingdom";"Broccoli";"September";29.2;29.2;29.2;29.2;29.2
"Packs";"Kingdom";"Broccoli";"October";29.2;29.2;29.2;29.2;29.2
"Packs";"Kingdom";"Broccoli";"November";29.2;29.2;29.2;29.2;29.2
"Packs";"Kingdom";"Broccoli";"December";29.2;29.2;29.2;29.2;29.2
"Packs";"Kingdom";"Romaine lettuce";"January";73.3;73.3;73.3;47.5;47.5
"Packs";"Kingdom";"Romaine lettuce";"February";73.3;73.3;73.3;47.5;47.5
"Packs";"Kingdom";"Romaine lettuce";"March";73.3;73.3;73.3;47.5;47.5
"Packs";"Kingdom";"Romaine lettuce";"April";73.3;73.3;73.3;47.5;47.5
"Packs";"Kingdom";"Romaine lettuce";"May";73.3;73.3;73.3;47.5;47.5
"Packs";"Kingdom";"Romaine lettuce";"June";73.3;73.3;73.3;47.5;47.5
"Packs";"Kingdom";"Romaine lettuce";"July";73.3;73.3;73.3;47.5;47.5
"Packs";"Kingdom";"Romaine lettuce";"August";73.3;73.3;73.3;47.5;47.5
"Packs";"Kingdom";"Romaine lettuce";"September";73.3;73.3;73.3;47.5;47.5
"Packs";"Kingdom";"Romaine lettuce";"October";73.3;73.3;73.3;47.5;47.5
"Packs";"Kingdom";"Romaine lettuce";"November";73.3;73.3;73.3;47.5;47.5
"Packs";"Kingdom";"Romaine lettuce";"December";73.3;73.3;73.3;47.5;47.5
"Packs";"Kingdom";"Red Lettuce";"January";55.1;55.0;55.0;57.0;57.0
"Packs";"Kingdom";"Red Lettuce";"February";55.0;55.2;55.0;57.1;57.1
"Packs";"Kingdom";"Red Lettuce";"March";55.1;55.1;55.0;57.0;57.1
"Packs";"Kingdom";"Red Lettuce";"April";55.5;55.4;55.0;57.1;57.0
"Packs";"Kingdom";"Red Lettuce";"May";55.2;55.2;55.0;57.0;57.3
"Packs";"Kingdom";"Red Lettuce";"June";55.1;55.2;55.0;57.1;56.9
"Packs";"Kingdom";"Red Lettuce";"July";55.1;55.1;55.0;56.9;57.2
"Packs";"Kingdom";"Red Lettuce";"August";55.3;55.2;55.0;57.0;57.1
"Packs";"Kingdom";"Red Lettuce";"September";55.1;55.2;55.0;57.1;57.1
"Packs";"Kingdom";"Red Lettuce";"October";55.0;55.1;55.0;57.0;56.9
"Packs";"Kingdom";"Red Lettuce";"November";55.1;55.0;55.0;56.9;57.1
"Packs";"Kingdom";"Red Lettuce";"December";55.3;55.2;55.0;57.1;57.0
"Packs";"Kingdom";"Iceberg lettuce";"January";55.0;55.0;55.0;43.8;43.8
"Packs";"Kingdom";"Iceberg lettuce";"February";55.0;55.0;55.0;43.8;43.8
"Packs";"Kingdom";"Iceberg lettuce";"March";55.0;55.0;55.0;43.8;43.8
"Packs";"Kingdom";"Iceberg lettuce";"April";55.0;55.0;55.0;43.8;43.8
"Packs";"Kingdom";"Iceberg lettuce";"May";55.0;55.0;55.0;43.8;43.8
"Packs";"Kingdom";"Iceberg lettuce";"June";55.0;55.0;55.0;43.8;43.8
"Packs";"Kingdom";"Iceberg lettuce";"July";55.0;55.0;55.0;43.8;43.8
"Packs";"Kingdom";"Iceberg lettuce";"August";55.0;55.0;55.0;43.8;43.8
"Packs";"Kingdom";"Iceberg lettuce";"September";55.0;55.0;55.0;43.8;43.8
"Packs";"Kingdom";"Iceberg lettuce";"October";55.0;55.0;55.0;43.8;43.8
"Packs";"Kingdom";"Iceberg lettuce";"November";55.0;55.0;55.0;43.8;43.8
"Packs";"Kingdom";"Iceberg lettuce";"December";55.0;55.0;55.0;43.8;43.8
"Packs";"Kingdom";"chicory (Endive)";"January";87.5;87.5;87.5;42.5;42.5
"Packs";"Kingdom";"chicory (Endive)";"February";87.5;87.5;87.5;42.5;42.5
"Packs";"Kingdom";"chicory (Endive)";"March";87.5;87.5;87.5;42.5;42.5
"Packs";"Kingdom";"chicory (Endive)";"April";87.5;87.5;87.5;42.5;42.5
"Packs";"Kingdom";"chicory (Endive)";"May";87.5;87.5;87.5;42.5;42.5
"Packs";"Kingdom";"chicory (Endive)";"June";87.5;88.0;87.5;42.6;42.6
"Packs";"Kingdom";"chicory (Endive)";"July";87.9;90.0;87.5;42.5;42.2
"Packs";"Kingdom";"chicory (Endive)";"August";88.0;87.5;87.5;42.6;42.8
"Packs";"Kingdom";"chicory (Endive)";"September";88.0;88.1;87.5;43.2;42.7
"Packs";"Kingdom";"chicory (Endive)";"October";87.5;87.6;87.5;42.5;42.5
"Packs";"Kingdom";"chicory (Endive)";"November";87.5;87.5;87.5;42.5;42.5
"Packs";"Kingdom";"chicory (Endive)";"December";87.5;87.5;87.5;42.5;42.5
"Packs";"Kingdom";"Spinach ";"January";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Spinach ";"February";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Spinach ";"March";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Spinach ";"April";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Spinach ";"May";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Spinach ";"June";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Spinach ";"July";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Spinach ";"August";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Spinach ";"September";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Spinach ";"October";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Spinach ";"November";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Spinach ";"December";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Artichokes";"January";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Artichokes";"February";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Artichokes";"March";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Artichokes";"April";0.0;88.1;87.5;0.0;44.0
"Packs";"Kingdom";"Artichokes";"May";0.0;0.0;0.0;0.0;42.5
"Packs";"Kingdom";"Artichokes";"June";0.0;0.0;0.0;0.0;42.5
"Packs";"Kingdom";"Artichokes";"July";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Artichokes";"August";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Artichokes";"September";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Artichokes";"October";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Artichokes";"November";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Artichokes";"December";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Jew's mallow";"January";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Jew's mallow";"February";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Jew's mallow";"March";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Jew's mallow";"April";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Jew's mallow";"May";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Jew's mallow";"June";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Jew's mallow";"July";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Jew's mallow";"August";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Jew's mallow";"September";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Jew's mallow";"October";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Jew's mallow";"November";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Jew's mallow";"December";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Cut jews mallow leaves";"January";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Cut jews mallow leaves";"February";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Cut jews mallow leaves";"March";8.1;2.1;8.3;12.5;12.5
"Packs";"Kingdom";"Cut jews mallow leaves";"April";8.3;8.3;8.3;12.5;12.5
"Packs";"Kingdom";"Cut jews mallow leaves";"May";8.3;8.3;8.3;12.5;12.5
"Packs";"Kingdom";"Cut jews mallow leaves";"June";8.3;8.3;8.3;12.5;12.5
"Packs";"Kingdom";"Cut jews mallow leaves";"July";8.3;8.3;8.3;12.5;12.5
"Packs";"Kingdom";"Cut jews mallow leaves";"August";8.3;8.3;8.3;12.5;12.5
"Packs";"Kingdom";"Cut jews mallow leaves";"September";8.3;8.3;8.3;12.5;12.5
"Packs";"Kingdom";"Cut jews mallow leaves";"October";8.3;8.3;8.3;12.5;12.5
"Packs";"Kingdom";"Cut jews mallow leaves";"November";8.3;8.3;8.3;12.6;12.5
"Packs";"Kingdom";"Cut jews mallow leaves";"December";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Coriander, green";"January";0.0;0.0;0.0;73.4;73.3
"Packs";"Kingdom";"Coriander, green";"February";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Coriander, green";"March";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Coriander, green";"April";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Coriander, green";"May";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Coriander, green";"June";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Coriander, green";"July";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Coriander, green";"August";0.0;0.0;0.0;73.4;73.3
"Packs";"Kingdom";"Coriander, green";"September";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Coriander, green";"October";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Coriander, green";"November";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Coriander, green";"December";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Parsley";"January";0.0;0.0;0.0;55.0;55.0
"Packs";"Kingdom";"Parsley";"February";0.0;0.0;0.0;55.0;55.0
"Packs";"Kingdom";"Parsley";"March";0.0;0.0;0.0;55.0;55.0
"Packs";"Kingdom";"Parsley";"April";0.0;0.0;0.0;55.0;55.0
"Packs";"Kingdom";"Parsley";"May";0.0;0.0;0.0;55.0;55.0
"Packs";"Kingdom";"Parsley";"June";0.0;0.0;0.0;55.0;55.0
"Packs";"Kingdom";"Parsley";"July";0.0;0.0;0.0;55.0;55.0
"Packs";"Kingdom";"Parsley";"August";0.0;0.0;0.0;55.0;55.0
"Packs";"Kingdom";"Parsley";"September";0.0;0.0;0.0;55.0;55.0
"Packs";"Kingdom";"Parsley";"October";0.0;0.0;0.0;55.0;55.0
"Packs";"Kingdom";"Parsley";"November";0.0;0.0;0.0;55.0;55.0
"Packs";"Kingdom";"Parsley";"December";0.0;0.0;0.0;55.0;55.0
"Packs";"Kingdom";"Watercress";"January";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Watercress";"February";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Watercress";"March";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Watercress";"April";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Watercress";"May";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Watercress";"June";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Watercress";"July";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Watercress";"August";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Watercress";"September";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Watercress";"October";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Watercress";"November";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Watercress";"December";0.0;0.0;0.0;73.3;73.3
"Packs";"Kingdom";"Mint - Mentha";"January";0.0;0.6;0.0;0.0;0.0
"Packs";"Kingdom";"Mint - Mentha";"February";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Mint - Mentha";"March";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Mint - Mentha";"April";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Mint - Mentha";"May";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Mint - Mentha";"June";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Mint - Mentha";"July";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Mint - Mentha";"August";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Mint - Mentha";"September";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Mint - Mentha";"October";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Mint - Mentha";"November";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Mint - Mentha";"December";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Sorrel";"January";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Sorrel";"February";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Sorrel";"March";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Sorrel";"April";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Sorrel";"May";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Sorrel";"June";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Sorrel";"July";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Sorrel";"August";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Sorrel";"September";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Sorrel";"October";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Sorrel";"November";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Sorrel";"December";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Chard";"January";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Chard";"February";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Chard";"March";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Chard";"April";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Chard";"May";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Chard";"June";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Chard";"July";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Chard";"August";0.0;0.0;0.0;0.0;0.0
